,Venue ID,Latitude,Longitude,Category
22871,4a5f9446f964a520e0bf1fe3,51.49477,-0.182719,Burger Joint
34266,4aa37fb3f964a520f64320e3,55.94843100000001,-3.199811,Castle
39651,4abcec53f964a520b98720e3,51.508207,-0.131414,Hotel
39931,4abdc1c7f964a5206d8b20e3,51.52315,-0.105242,Pub
39989,4abe4502f964a520558c20e3,51.501303,-0.142103,Castle
40027,4abe5714f964a520d68c20e3,51.514157,-0.130879,Thai Restaurant
40302,4abf8c03f964a520079120e3,51.499165999999995,-0.162885,Department Store
41269,4ac4bb54f964a520e49e20e3,51.514781,-0.135411,Breakfast Spot
41367,4ac51183f964a52045a020e3,51.504602,-0.14752200000000001,Hotel
41368,4ac51183f964a52046a020e3,51.46714,-0.1176,Portuguese Restaurant
41369,4ac51183f964a52048a020e3,51.535645,-0.15574000000000002,Zoo
41370,4ac51183f964a52049a020e3,51.491043,-0.127888,Art Museum
41371,4ac51183f964a5204ca020e3,51.51348,-0.13474,Farmers Market
41376,4ac518b4f964a52064a020e3,51.508883000000004,-0.142095,Hotel
41377,4ac518b4f964a52065a020e3,51.424955,-0.229425,Hotel
41378,4ac518b4f964a52066a020e3,51.499933,-0.161503,Hotel
41379,4ac518b4f964a52067a020e3,51.50781,-0.137896,Hotel
41380,4ac518b4f964a5206ba020e3,51.512515,-0.147629,Hotel
41381,4ac518b4f964a5206fa020e3,51.502514,-0.152443,Hotel
41382,4ac518b4f964a52071a020e3,51.50164,-0.158801,Hotel
41383,4ac518b4f964a52072a020e3,51.505323,-0.150719,Hotel
41384,4ac518b4f964a52073a020e3,51.500745,-0.152112,Hotel
41385,4ac518b4f964a52075a020e3,51.485814000000005,-0.19908900000000002,Hotel
41386,4ac518b4f964a52076a020e3,51.492340000000006,-0.22053000000000003,Hotel
41387,4ac518b4f964a5207aa020e3,51.527703,-0.135355,Hotel
41388,4ac518b4f964a5207ba020e3,51.542109,-0.170451,Hotel
41389,4ac518b4f964a5207da020e3,51.494559,-0.118802,Hotel
41390,4ac518b4f964a5207fa020e3,51.502029,-0.160156,Hotel
41391,4ac518b4f964a52080a020e3,51.498428000000004,-0.15851700000000002,Hotel
41392,4ac518b4f964a52082a020e3,51.505774,-0.140521,Hotel
41393,4ac518b4f964a52083a020e3,51.505884,-0.124304,Hotel
41394,4ac518b4f964a52084a020e3,51.496588,-0.144925,Hotel
41395,4ac518b5f964a52086a020e3,51.493415,-0.191881,Hotel
41396,4ac518b5f964a52088a020e3,51.493902,-0.182304,Hotel
41397,4ac518b5f964a5208aa020e3,51.47571,-0.181625,Hotel
41398,4ac518b5f964a5208ba020e3,51.503507,-0.150247,Hotel
41399,4ac518b5f964a5208ca020e3,51.504976,-0.147285,Hotel
41400,4ac518b5f964a5208fa020e3,51.507184,-0.14603,Hotel
41401,4ac518b5f964a52090a020e3,51.510745,-0.151102,Hotel
41402,4ac518b5f964a52092a020e3,51.516529999999996,-0.150824,Hotel
41403,4ac518b5f964a52095a020e3,51.511359999999996,-0.185437,Hotel
41404,4ac518b5f964a52097a020e3,51.526346000000004,-0.113699,Hotel
41405,4ac518b5f964a5209da020e3,51.489274,-0.18020899999999998,Hotel
41406,4ac518b5f964a5209fa020e3,51.510124,-0.129936,Hotel
41407,4ac518b5f964a520a0a020e3,51.502565999999995,-0.18834,Hotel
41408,4ac518b5f964a520a3a020e3,51.521654999999996,-0.162799,Hotel
41409,4ac518b5f964a520a6a020e3,51.493533,-0.159529,Hotel
41410,4ac518b5f964a520aca020e3,51.494507,-0.174763,Hotel
41411,4ac518b5f964a520ada020e3,51.522107,-0.160942,Hotel
41412,4ac518b5f964a520aea020e3,51.51453,-0.126903,Hotel
41413,4ac518b5f964a520b0a020e3,51.502365000000005,-0.21614299999999997,Hotel
41414,4ac518b5f964a520b3a020e3,51.517408,-0.129667,Hotel
41415,4ac518b5f964a520b5a020e3,51.518734,-0.13206400000000001,Hotel
41416,4ac518b5f964a520b9a020e3,51.522562,-0.125187,Hotel
41417,4ac518b5f964a520baa020e3,51.524375,-0.128417,Hotel
