,Venue ID,Latitude,Longitude,Category,JensenQ
0,4c18fe2d6a21c9b670d6c997,51.470664,-0.45790699999999995,Airport Terminal,23.72323943411387
1,4ac518cef964a520f5a520e3,51.51368400000001,-0.099435,Church,30.115709447095234
2,4badfc5af964a5202e783be3,51.516835,-0.40416599999999997,Coffee Shop,-158.88982725361373
3,4b409606f964a52025b925e3,51.536139,-0.10316800000000001,Park,25.455300799848604
4,4ac518d1f964a520e0a620e3,51.508182,-0.087547,Bridge,340.2554369515371
5,4acbc300f964a52058c520e3,51.528437,-0.134025,Train Station,60.946413533226945
6,4af33684f964a520c7eb21e3,51.530772999999996,-0.12338199999999999,Train Station,93.02074735657757
7,4ad5f480f964a5202c0421e3,51.412862,-0.301266,Train Station,-12.163586794586793
8,4f679f43e4b03aa49001693f,51.531766999999995,-0.124197,Train Station,85.97704328386611
9,4ac518f6f964a52052af20e3,51.495359,-0.14456,Train Station,128.3194822056583
10,4f78c711e4b06bb77fa97c84,51.431757,0.056741999999999994,General Travel,-32.08041703471583
11,4f4a8910e4b082dc588778b5,51.431788,0.05661,Grocery Store,-36.834479012184836
12,4f4ea104e4b0f03ee61495cb,51.431778,0.056673,Grocery Store,-36.834479012184836
13,4acee9a4f964a5200ed220e3,51.504896,-0.085874,Train Station,68.43885682877004
14,4bf1183ab315c9b6bf9a93ff,51.520044,-0.10631199999999999,Office,19.13547615183288
15,4b101f53f964a5207a6923e3,51.512537,-0.13325499999999998,Gay Bar,143.87761974833845
16,4af47862f964a520d6f221e3,51.517835999999996,-0.081861,Train Station,151.69761519216993
17,4acd8e7df964a52044cc20e3,51.503133,-0.11275999999999999,Train Station,115.98797941723942
18,4ac518f6f964a52050af20e3,51.508075,-0.124583,Train Station,250.64682880862526
19,4be9a99c62c0c928dfebdfd4,51.472576000000004,-0.45103999999999994,Airport Terminal,-11.121959411338583
20,4e2a8c85d4c0e5c89aba810e,51.479058,-0.409412,Bus Line,0.15262801690905436
21,4ac518d2f964a5202aa720e3,51.481673,-0.009323999999999999,Neighborhood,-141.40466401995673
22,4ae83e74f964a5204bae21e3,51.516514,-0.177069,Train Station,82.1726556859435
23,4ad4a773f964a52083e820e3,51.522656,-0.156834,Subway,-21.615522998626655
24,4ad09694f964a52099d820e3,51.522476,-0.163164,Train Station,34.32635929821013
25,4c1f76d6e923ef3bbfbe4e54,51.52773,0.004764,Subway,-401.74853818494836
26,4bc875b5af07a59371dd802d,51.444245,-0.026565,Train Station,-57.61007756527195
27,4bed208a91380f4749729f18,51.49648,-0.141622,Building,104.67598056777098
28,4f3a1b95e4b00bffded5d78a,51.520740999999994,-0.133139,Office,24.78645588740462
29,4ace295ff964a520ccce20e3,51.464743,-0.170299,Train Station,-33.47223827246251
30,4ad8af64f964a520b81321e3,51.45981,-0.447049,Airport Terminal,-12.601280022775288
31,4ac518f4f964a520daae20e3,51.514431,-0.141492,Electronics Store,27.3069294697759
32,4c48305e96abd13aa25e7301,51.512198,-0.123524,Electronics Store,491.72753074732543
33,4ac518cdf964a520f2a520e3,51.502385,-0.135269,Park,13.705106557005038
