,Venue ID,Station_name,distance,pagerank
0,4aec9f4bf964a52091c921e3,Borough,0.43,0.002440974667129324
1,4b9024ccf964a5204a7833e3,Ealing Broadway,0.05,0.0029089823969171433
2,4bd9dff02a3a0f4726a7a8b6,Aldgate East,0.24,0.0034015233511807573
3,4b044900f964a520e05222e3,Shepherd's Bush (C),0.36,0.002998439801123201
4,4f6880ce6b74aa26bb61f7ac,Old Street,0.42,0.0025006072785233023
5,4ac518d2f964a52007a720e3,Tottenham Court Road,0.09,0.00406659975823078
6,4e6f89aa1fc7c08369520840,Stratford,0.11,0.0049025821112767655
7,4ac518eaf964a520f4ab20e3,Limehouse,0.31,0.002514702412717576
8,4f181582e4b0f1e7bafdba4c,Northfields,1.42,0.003049689668959522
9,4f5e63c7e4b0569e046881e2,Balham,3.46,0.0033071304706010426
10,4ad1feb8f964a520bbde20e3,Picadilly Circus,0.34,0.0038622115975345092
11,4ad9f6ddf964a520751c21e3,Farringdon,0.09,0.002520497414880388
12,4b7d87fdf964a520dbc42fe3,Bank,0.21,0.007140357533229205
13,4b7bf6abf964a52004762fe3,Old Street,0.46,0.0025006072785233023
14,4c1e5386fcf8c9b66e10ad0b,Kilburn,0.37,0.0029760181800877732
15,4c18fe2d6a21c9b670d6c997,"Heathrow Terminals 1, 2 & 3",0.39,0.0030176859024648854
16,4ba0eaa7f964a520d88637e3,Richmond,1.09,0.001954371025272989
17,4c274c0bf1272d7f4eed87c5,Warwick Avenue,0.46,0.002844099652174489
18,4b0bf426f964a5200e3523e3,Waterloo,0.31,0.006082059994430767
19,4b8956d8f964a520df2c32e3,Richmond,0.64,0.001954371025272989
20,4ae15aedf964a520f88521e3,Wembley Park,0.03,0.005260251724084229
21,4ed4bcab7beb5f8ffac8e762,London Bridge,0.29,0.004452779322672395
22,4dc03e7c6a23e5a549e75316,Kentish Town,0.32,0.0028395412720247115
23,4b97e81df964a520681e35e3,Leicester Square,0.21,0.00401890418712755
24,4d9b688a674ca143f789d243,Ealing Broadway,0.42,0.0029089823969171433
25,4f42a81de4b0def996096a1d,Caledonian Road,0.2,0.0026643092209678947
26,4ae19e32f964a520708621e3,Hammersmith,0.3,0.004884629732848307
27,4c20ce3815b39c74f7c335f2,Cockfosters,0.08,0.002121262411932192
28,4f67946ee4b0746beb45e6e7,Leytonstone,0.53,0.004209625648758968
29,4ac518cef964a520f5a520e3,St. Paul's,0.18,0.002405775841256757
30,4bb3980135f0c9b6329bbc83,Ealing Common,0.05,0.004056478141728161
31,4ad42bccf964a5205fe720e3,Kew Gardens,1.57,0.003429840667179137
32,4ae1eb62f964a520be8821e3,Vauxhall,0.07,0.002783842750815579
33,4bdcad62ccf52d7f22d9786d,Richmond,4.48,0.001954371025272989
34,4ae0acf4f964a5208c8121e3,Walthamstow Central,0.54,0.0020594140647469386
35,4adb1972f964a5205f2421e3,Tufnell Park,0.47,0.003049986813192634
36,4acdc130f964a520eacc20e3,Charing Cross,0.25,0.003059595262754043
37,4b926847f964a5205af733e3,North Greenwich,0.25,0.0026092101894053463
38,4badfc5af964a5202e783be3,Northolt,4.27,0.003433169560806535
39,4b565077f964a520c50a28e3,Knightsbridge,0.19,0.002550462685137533
40,4b409606f964a52025b925e3,Angel,0.47,0.0025204974148803853
41,4d037eaf8620224bf033a340,Shepherd's Bush (C),0.06,0.002998439801123201
42,4ada053af964a5205d1d21e3,Leytonstone,0.02,0.004209625648758968
43,4c38504693db0f477d5a2192,Richmond,5.79,0.001954371025272989
44,4f36eafbe4b0d3ab50f5e4b1,Angel,0.48,0.0025204974148803853
45,4cbebbee97bc721eff208167,Covent Garden,0.12,0.0022834299008437572
46,4cc9de9046b43704926e4be1,Walthamstow Central,0.54,0.0020594140647469386
