,Venue ID,Latitude,Longitude,Category,MainCategory,NearPlaceEntropy
0,4c18fe2d6a21c9b670d6c997,51.470664,-0.45790699999999995,Airport Terminal,Travel & Transport,0.1881632237860286
1,4ac518cef964a520f5a520e3,51.51368400000001,-0.099435,Church,Professional & Other Places,0.12721194831013202
2,4badfc5af964a5202e783be3,51.516835,-0.40416599999999997,Coffee Shop,Food,0.8899213376865164
3,4b409606f964a52025b925e3,51.536139,-0.10316800000000001,Park,Outdoors & Recreation,0.1421229893490462
4,4ac518d1f964a520e0a620e3,51.508182,-0.087547,Bridge,Outdoors & Recreation,0.09938718653261738
5,4acbc300f964a52058c520e3,51.528437,-0.134025,Train Station,Travel & Transport,0.1330596122771134
6,4ac518ecf964a52078ac20e3,51.512762,-0.140097,Toy / Game Store,Shop & Service,0.05625651912166958
7,4af33684f964a520c7eb21e3,51.530772999999996,-0.12338199999999999,Train Station,Travel & Transport,0.09887440227048916
8,4ad5f480f964a5202c0421e3,51.412862,-0.301266,Train Station,Travel & Transport,0.21387237042367416
9,4ae8b043f964a52076b121e3,51.41209600000001,-0.300386,Multiplex,Arts & Entertainment,0.2166084939249829
10,4ac518e8f964a52075ab20e3,51.500982,-0.177412,Concert Hall,Arts & Entertainment,0.25661240767794796
11,4f679f43e4b03aa49001693f,51.531766999999995,-0.124197,Train Station,Travel & Transport,0.10096044025552683
12,4ac518f6f964a52052af20e3,51.495359,-0.14456,Train Station,Travel & Transport,0.0938140272602059
13,4f78c711e4b06bb77fa97c84,51.431757,0.056741999999999994,General Travel,Travel & Transport,0.7000763811286929
14,4f4a8910e4b082dc588778b5,51.431788,0.05661,Grocery Store,Shop & Service,0.7000763811286929
15,4f4ea104e4b0f03ee61495cb,51.431778,0.056673,Grocery Store,Shop & Service,0.7000763811286929
16,4acee9a4f964a5200ed220e3,51.504896,-0.085874,Train Station,Travel & Transport,0.11333976635091957
17,4bf1183ab315c9b6bf9a93ff,51.520044,-0.10631199999999999,Office,Professional & Other Places,0.1000612243357164
18,4b101f53f964a5207a6923e3,51.512537,-0.13325499999999998,Gay Bar,Nightlife Spot,0.04748177424401238
19,4af47862f964a520d6f221e3,51.517835999999996,-0.081861,Train Station,Travel & Transport,0.08265612739946758
20,4acd8e7df964a52044cc20e3,51.503133,-0.11275999999999999,Train Station,Travel & Transport,0.09952607115788181
21,4bab2ca2f964a520e7973ae3,51.512226,-0.175275,Hotel,Travel & Transport,0.15911004984605234
22,4ac518f6f964a52050af20e3,51.508075,-0.124583,Train Station,Travel & Transport,0.06549961690607922
23,4be9a99c62c0c928dfebdfd4,51.472576000000004,-0.45103999999999994,Airport Terminal,Travel & Transport,0.2270800976268545
24,4e2a8c85d4c0e5c89aba810e,51.479058,-0.409412,Bus Line,Travel & Transport,0.6498254817749486
25,4ac518d2f964a5202aa720e3,51.481673,-0.009323999999999999,Neighborhood,Outdoors & Recreation,0.24709530692969048
26,4ae83e74f964a5204bae21e3,51.516514,-0.177069,Train Station,Travel & Transport,0.11543258197334992
27,4ad4a773f964a52083e820e3,51.522656,-0.156834,Subway,Travel & Transport,0.12879792779849536
28,4ad09694f964a52099d820e3,51.522476,-0.163164,Train Station,Travel & Transport,0.14614134343081375
29,4c1f76d6e923ef3bbfbe4e54,51.52773,0.004764,Subway,Travel & Transport,1.037164860181224
30,4bc875b5af07a59371dd802d,51.444245,-0.026565,Train Station,Travel & Transport,0.9572595157174699
31,4bed208a91380f4749729f18,51.49648,-0.141622,Building,Professional & Other Places,0.09073760350998342
32,4f3a1b95e4b00bffded5d78a,51.520740999999994,-0.133139,Office,Professional & Other Places,0.0906964432822578
33,4ace295ff964a520ccce20e3,51.464743,-0.170299,Train Station,Travel & Transport,0.31096746511123163
34,4ad8af64f964a520b81321e3,51.45981,-0.447049,Airport Terminal,Travel & Transport,0.2884976028272339
35,4ac518f4f964a520daae20e3,51.514431,-0.141492,Electronics Store,Shop & Service,0.06352960503457679
36,4c48305e96abd13aa25e7301,51.512198,-0.123524,Electronics Store,Shop & Service,0.04552461885470502
37,4ac518cdf964a520f2a520e3,51.502385,-0.135269,Park,Outdoors & Recreation,0.1977619514272676
38,4ac518cef964a520f6a520e3,51.500645,-0.124573,Monument / Landmark,Professional & Other Places,0.17361385876036922
39,4ac518f7f964a520c6af20e3,51.5312,-0.126343,Train Station,Travel & Transport,0.1045601779828525
40,4ad08393f964a52049d820e3,51.504733,-0.018104,Gym / Fitness Center,Outdoors & Recreation,0.15563928294781612
41,4b48c99ef964a520ee5626e3,51.518935,-0.180025,Gym,Outdoors & Recreation,0.1722794643634029
42,4ac7a2caf964a520adb820e3,51.507506,-0.114718,Theater,Arts & Entertainment,0.13622890804292145
43,4acdf4c0f964a520b0cd20e3,51.52048,-0.077752,Office,Professional & Other Places,0.08713536883578431
44,4acdb243f964a520b7cc20e3,51.505965,0.047979,Airport,Travel & Transport,0.58519998275366
45,4c6ce8d923c1a1cd4bdf1acf,51.539075,-0.142651,Neighborhood,Outdoors & Recreation,0.12555739913335875
46,4ad08b28f964a52064d820e3,51.507362,-0.221336,Mall,Shop & Service,0.14360260222433624
47,4acdeba7f964a5208bcd20e3,51.485846,-0.12381099999999999,Train Station,Travel & Transport,0.3049978559168607
48,4bfc2288a118a59360046eb6,51.41239,-0.065725,Train Station,Travel & Transport,2.5993019270997944
49,4ac518ecf964a52071ac20e3,51.501635,-0.160144,Department Store,Shop & Service,0.12144403240185148
50,4b114284f964a520657923e3,51.532161,-0.123596,General Entertainment,Arts & Entertainment,0.1012278727796989
51,4ac518d3f964a52076a720e3,51.507607,-0.09945599999999999,Art Gallery,Arts & Entertainment,0.16978609469108719
52,4ac518f4f964a520fbae20e3,51.540957,-0.14571900000000002,Market,Shop & Service,0.12998327682901006
53,4ad64197f964a5201d0621e3,51.508115000000004,-0.096946,Theater,Arts & Entertainment,0.14496839567935732
54,4b90c48bf964a520c29633e3,51.499138,-0.164197,Sandwich Place,Food,0.11761040896929204
55,4ad2de98f964a520c3e220e3,51.524996,-0.12523800000000002,Coffee Shop,Food,0.107523220864691
56,4ac518cef964a520f9a520e3,51.507988,-0.128049,Plaza,Outdoors & Recreation,0.058030413456854224
57,4c7551e63adda143e3f906af,51.541885,-0.003439,Train Station,Travel & Transport,0.13833578924800696
58,4ac518cdf964a520e9a520e3,51.497219,-0.17427,Science Museum,Arts & Entertainment,0.14156829896219147
59,4abf8c03f964a520079120e3,51.499165999999995,-0.162885,Department Store,Shop & Service,0.11543258197334992
60,4c2f34e0a0ced13ac112106e,51.506051,-0.089951,Church,Professional & Other Places,0.11543258197334992
61,4b0c1159f964a520633623e3,51.481732,-0.19100799999999998,Soccer Stadium,Arts & Entertainment,0.32041740715360545
62,4ac51183f964a52048a020e3,51.535645,-0.15574000000000002,Zoo,Arts & Entertainment,1.1337324605540517
63,4ac518d2f964a5203da720e3,51.519271999999994,-0.12684700000000002,History Museum,Arts & Entertainment,0.08973409239298555
64,4ac518cef964a52019a620e3,51.529211,-0.127437,Library,Professional & Other Places,0.08849534393827668
65,4bb9c73e53649c74a43948fb,51.493061,-0.22551999999999997,Pub,Nightlife Spot,0.19012608248854004
66,4ac518eaf964a52007ac20e3,51.502852000000004,0.003154,Music Venue,Arts & Entertainment,0.36990923655957353
67,4ed5ed9c8b81665993030b18,51.491679,-0.193846,Platform,Travel & Transport,0.19803442533584747
68,4ac518c8f964a52081a520e3,51.51182100000001,-0.129647,Gay Bar,Nightlife Spot,0.04068088830689072
69,4ace0a5df964a52007ce20e3,51.512826000000004,-0.132464,Cafe,Food,0.0463675830326513
70,4b1290d5f964a520da8a23e3,51.513537,-0.156147,Clothing Store,Shop & Service,0.08767250497591975
71,4ac518cef964a520f7a520e3,51.508021,-0.076261,Castle,Outdoors & Recreation,0.12998327682901006
