Venue ID,Latitude,Longitude,Category,MainCategory
4aec9f4bf964a52091c921e3,51.498044,-0.090546,Pub,Nightlife Spot
4b9024ccf964a5204a7833e3,51.514978,-0.302248,Restaurant,Food
4bd9dff02a3a0f4726a7a8b6,51.516956,-0.070255,Indian Restaurant,Food
4b044900f964a520e05222e3,51.507220000000004,-0.221701,Portuguese Restaurant,Food
4f6880ce6b74aa26bb61f7ac,51.522703,-0.085487,Coworking Space,Professional & Other Places
4ac518d2f964a52007a720e3,51.51632100000001,-0.129668,Office,Professional & Other Places
4e6f89aa1fc7c08369520840,51.542545000000004,-0.004431,Coffee Shop,Food
4ac518eaf964a520f4ab20e3,51.512826000000004,-0.043983999999999995,Concert Hall,Arts & Entertainment
4f181582e4b0f1e7bafdba4c,51.510365,-0.324975,Clothing Store,Shop & Service
4f5e63c7e4b0569e046881e2,51.425656,-0.11120799999999999,Home (private),Residence
4ad1feb8f964a520bbde20e3,51.51267100000001,-0.132641,Gay Bar,Nightlife Spot
4ad9f6ddf964a520751c21e3,51.520118,-0.10400999999999999,Pub,Nightlife Spot
4b7d87fdf964a520dbc42fe3,51.515014,-0.087387,Bar,Nightlife Spot
4b7bf6abf964a52004762fe3,51.524569,-0.081228,Sandwich Place,Food
4c1e5386fcf8c9b66e10ad0b,51.544568,-0.201146,Portuguese Restaurant,Food
4c18fe2d6a21c9b670d6c997,51.470664,-0.45790699999999995,Airport Terminal,Travel & Transport
4ba0eaa7f964a520d88637e3,51.455490999999995,-0.310879,Liquor Store,Shop & Service
4c274c0bf1272d7f4eed87c5,51.524491999999995,-0.177033,Cafe,Food
4b0bf426f964a5200e3523e3,51.505871,-0.116923,Performing Arts Venue,Arts & Entertainment
4b8956d8f964a520df2c32e3,51.458123,-0.305398,Portuguese Restaurant,Food
4ae15aedf964a520f88521e3,51.563266999999996,-0.27929299999999996,Subway,Travel & Transport
4ed4bcab7beb5f8ffac8e762,51.504288,-0.082451,Vietnamese Restaurant,Food
4dc03e7c6a23e5a549e75316,51.547979,-0.138836,Beer Garden,Nightlife Spot
4b97e81df964a520681e35e3,51.511876,-0.130945,Chinese Restaurant,Food
4d9b688a674ca143f789d243,51.513403000000004,-0.306976,City Hall,Professional & Other Places
4f42a81de4b0def996096a1d,51.547377000000004,-0.11611099999999999,Italian Restaurant,Food
4ae19e32f964a520708621e3,51.490937,-0.224597,Concert Hall,Arts & Entertainment
4c20ce3815b39c74f7c335f2,51.650940999999996,-0.14971800000000002,Cafe,Food
4f67946ee4b0746beb45e6e7,51.572854,0.005878,Home (private),Residence
4ac518cef964a520f5a520e3,51.51368400000001,-0.099435,Church,Professional & Other Places
4bb3980135f0c9b6329bbc83,51.510155,-0.28742,Japanese Restaurant,Food
4ad42bccf964a5205fe720e3,51.468125,-0.267363,Train Station,Travel & Transport
